," =COUNTIF(A:A,A1)>1"
c433e385-0645-5474-f7c18430c5b2,Access dbfs default storage path is timing out | ARR SR# 2204070050000512
2d8e775e-468b-55da-283d12f3e5fc,CVE-2022-22965 vulnerability
eff5c5e9-e182-a6ed-76f1d74099cd,Genie
aa78a615-ee70-f860-28241e6dc004,Not able to start cluster
d076447c-9669-28fd-1f8ef14d90d1,2.20E+15
3d224408-e8d5-6e61-371514ab45bd,Delete older data from S3
9fcff92a-2f85-1864-3cee6d06f77a,Feature Extraction has become slower
95607b7f-85ec-c491-1c0223c346df,workspace access - 2203310030000887
2a2d243f-41ed-1857-aecf040c0f63,gar for 2203180050000275 
3c2ab782-7595-08c1-466753939d45,Jobs failing with library not being installed on clusters
3c1e73f5-d7ad-8b62-2bdd44601148,Issue with connection between SAS and Databricks
0eef8a0a-b928-7d2a-290cc20b92d2,2204060030002027_Need Genie Access
c43ac9c5-7aa1-dced-b99af2cfad43,CSS ARR | 2203230030001649 - ADF pipeline job is failing in CART-ADF-Prod
43b375a4-e3ab-cff9-c556f33bebbb,Unable to install tensorflow library on graviton cluster
10890cad-7193-dd88-7f02e1f1b564,2204040050002281-genie acess
d83dea0e-5e62-5ef5-ba83d67d4a8a,genie for #2204050040010223
e6a1d1cc-a98b-e39f-9c24dab49797,"Spark Dataframe is getting column name in row data, instead of values"
5c4701bb-b425-3ad0-477b55779c8c,Genie Access Request
9e65b88e-d48d-f3d0-c82fa674101a,Genie Access | ARR SR# 2204070050000512
0f6a2cf7-5b19-859b-8442ba957755,Resource Required to append to a delta table 
bdf79eff-4254-408a-88c108238ae5,Not able to activate Databricks Unity Catalog
b370613a-0d89-16ce-bf6e72d44a6e,ACL Clusters TCP Ports Security Query
8abe1f69-514d-00dd-51ed42956b8f,genie for #2204060050000418
4c67dddd-feb7-caa1-1d7d7ff7773c,[ARR][2204070030000183][Databricks job not able to complete as the cluster config has reached the max capacity]
f365e759-7329-dd95-c5d2e7a6fb9a,how to grant job permission to runs submitted by API
0ddb2b8d-d30c-f09a-a3c98292330f,How to use R studio for Databricks
53c4a5be-3ac8-cb69-f2e8e7e9ea9e,genie
1d4e23e7-c074-8d23-bd4cb99ea9cd,[ARR][2204070030000183][Databricks job not able to complete as the cluster config has reached the max capacity]
11b7c721-cae9-1b92-0d4c5a38e69f,CSS-ARR-SFMC-2204070030000778-RU is increasing in GR from yesterday night in streming job
8dc0bfad-0a3a-2af8-90b95c44b1c4,AND operator raising UnsupportedOperationException: dataType with LAG
648e3e7d-b072-86d9-5b8fd8b0f49f,ARR | Cluster is in pending state forever | 2204070050000281 | UHG 
da25f809-126d-1ecb-5f3650d8cfd4,2204070030000778_Need Genie Access
611e8367-8e40-72ad-3f14e157e65e,unable to run job cluster when attaching a notebook to it.
41c7170a-83fd-1b5c-d18c65ab7c2f,2.20E+15
82b90428-aa4b-d470-35b322d724e3,Genie Access - 2203140030002364
7fbe154c-83e3-b9e4-c9491c94e433,2.20E+15
1e7d448c-04d0-eebe-eb09832984d0,policies log check
c675e4ee-c289-a8d2-63cafcd6f487,genie
11d4133f-b890-2e46-9b96ddd90a8a,Genie
3eb38bce-f298-3f69-ebb68e9751a1,Databricks log capture user command behavior and table access control question
f7705e1c-080e-c47c-e3d034c476f7,SQL endpoint display wrong value when the length of number is more than 15 digit
94609693-efc6-44cb-879eb70087b7,Need some clarification on delta live tables
aaca8031-fce6-4e8f-0a58fbce075e,ARR-CSS_SFMC-Databricks production job has been failed multiple times
4f9b7c95-9a75-c8b4-b6aa4e12657e,[Airflow Task] Data of certain conditions are loaded twice on a 'specific date' delta table (insert into)
bee23714-49d4-12f2-1636ad4fa2c2,Failed installation of event hub connector library from Maven repo in databricks cluster.
ad815103-a5b8-196b-bcecef6ab68a,User getting error while running sql query in notepad
e319076e-1e95-52a2-1a758d5df6dd,[Airflow Task] Full data loaded twice in a 'specific date' parquet table (insert overwrite)
b6b17291-6387-6ab0-b52f3b5d9a14,Genie access request
5025f676-247f-edfd-3f70a328c497,Genie Access Request
cc148ac1-1fd2-ad7d-9b36dc365646,Corrupt Linux VMs are used
84013aaa-90a5-3e9b-9cce94c8d6f9,genie
9769f1ad-afb5-96a2-bab1833e1ea0,Delta table merge into command creates lots of files in storage | ARR SR# 2203110030000770001
50754227-fbd4-45d1-1460ed867fca,2204060040006975_Need Genie Access
5a154c3f-e487-a36e-4406636c2147,Unable to import data from RDS using spark databricks
461ff911-9455-551c-01f2bcc4f50e,"Access to non-admins to ""Create and trigger a one-time run"""
84d13a66-eb78-4a30-c621a43cc42a,Genie access | ARR SR# 2203110030000770
94859508-dd78-3ac3-60e0b3a47d67,0457genie
f967a45d-cbad-c1fe-6e6b49d24e0a,Schema creation fails with exception 'CTLG_NAME'
eb57ad08-79b9-cc95-b75d2628ef52,Execution of 2 Jars on same cluster sequential with same prod.conf
739cdea8-0b20-1a74-987bb818b3ea,"How to provide SQL Access to a Group for running queries, explore data"
87d68e8b-41d0-0c85-7fffd381ad54,JSON  file read issue
975d7016-84a8-cca4-70ed4ccf45c4,Undefined function: getArgument
7ba60c4f-f64a-2b3f-4f77a3cbc6dd,Reg virtualenv          
8d8839f8-60c6-dc04-28c3e172b5b8,Unable to stream data from google pub sub using spark 3
e1ce8f9f-0cca-f228-019a43bb166f,Demo Ticket
bbb545b3-6255-2954-03c58f6ba5cf,genie-Connectivity between Azure Databricks and Storage Account under private endpoint
a10234b1-26d9-2742-6c106ac3f977,"[ARR] [Sev B] SR-2204040030002605 The cause of Mestastore, DBFS down"
8b584d80-a76d-548c-8512daa6f67f,check how to enbale delta live table
f9b881f9-8435-b71e-51e5c804150d,Genie Access - SR 2204040030002605
fc7ef5b2-623e-27df-1fd0815f1109,genie
4d3633df-9661-8956-de8805990778,cloudwatch-initv2.sh.txt failed
faa44039-93cf-8fb1-670a75e1d64b,[ARR] SR#2204060030003103 The Azure Databricks – Connect to Azure Synapse - Dedicated SQL Pool issue
9a5122e4-9958-e1fe-d6b76796386d,Databricks production is down and not able to access
7df4e81e-6e51-909e-ed85eca349b2,Account Network Cloud configuration unable to delete
f18f4615-7d0a-e7f5-12b434a7f02f,Queries that used to work on 5.5LTS   fail in 10.4 LTS
e62e6139-80f8-0eb9-bc75728d4d1b,Databricks cluster auto-scale-up failure causing production disruption
064235cb-ab98-79c9-cd5d09c21db8,genie
eea77abe-0699-2a6f-b05b567b752b,0895genie
35eb1da6-cb6a-c81e-3931f8b32715,Prod showing hivemeta store Catalog and objects are shown up slowly from it
2e949873-d6af-7054-cd5c67d3c8ab,Access denied error when writing from RDD to S3
f6f12e20-35ad-c5b6-a546524121c3,Job Clusters Not Auto Scaling Properly
922a65bd-fa58-8cbe-cd90b3e1abb5,Databricks Long running job stuck in pending state not able to acquire resources
546847d8-cecf-16ec-a551f629076b,Classpath loading on DBR cluster missing conf
a30e8113-228c-8ca4-79f32a76246c,Help portal button on DBSQL persona giving an error
4ae79a78-69c6-6e49-2b2d4bca1983,Genie access request
b4a4b489-67a7-ec62-97ab38609ab5," we have a chaduled job on 13th of eacvh month, but the run did not fire on March 13 2022"
41a8e828-8dda-2697-766b3b70a5e5,Job failure without underlying cause
643fd6e9-9eb7-a834-d5f342dc7549,Unable to setup SSO for Databricks TEST
b677818d-391b-319c-0baa13e779da,2204050040008232 - Genie - Databricks reads a stale cache instead of the delta files
459724a3-bfe2-78f1-49f030811d1f,genie : Databricks production job has been failed multiple times- 2204060040006975
2af4377f-7f8a-71b8-179242c39163,ARR |  2203090040006252 | Follow up to 00137308
54036eb6-bc71-bcf5-bc3f995c0933,ARR: Sev A:Streaming Jobs are stuck:SR 2204060040007641 
85edd20e-fd34-d918-0663a15d88cf,"""Bad Request” error message when trying to access the Ganglia UI Live Metrics through UI"
4f9db6a2-2d44-f894-7088436de7f9,Genie:ARR:outage/cluster down:SR204060040007331  
7d674990-c3e6-15c5-22920f5fe866,Spark 10.4 LTS issue
3b5e47b8-22b8-cd88-eb481f6ab8ab,Issue with long running query
7900cb73-fbc8-0ad2-6f275a35dda9,Genie:ARR:Outage issue
ac370a49-e038-8899-0cd69b371e68,Requesting workspace access for looking into 403 error on job run
c18f7b57-6f9c-795a-a99b7761ad65,issue with AWS VPC set up
24b52c8b-83fe-18b9-9d72929052ee,2204060040006989Genie || Run times of existing jobs more than doubled without any data volume changes
5a2c61f2-3336-3aa1-f477184e4bb7,AWS private link
4a10b964-0598-550c-4cb1f23503ce,Python code generates stdout overflow
32099a04-36e9-e0a8-557eae514e0c,Unapproved usage of cluster by databricks
c6e37ea5-2482-f2b1-525f618e979c,Using geospatial functions in SQL Endpoints
df26fd15-d354-8249-f7828f8e1a63,Streaming Executors are getting stuck and die
066a86fe-32d9-114f-b61e91bc4a88,genie for #2204050040010223
e3062055-7bff-6d6f-63bd35b758e6,"While writing data from databricks into ADLS files , storage ACL permission (Mask bit) is not inheriting properly"
e342304c-6ea7-b8b9-d81a29717677,Error running queries on Coreviz Cluster in Live(450)
17d338b6-a49f-d5cf-1ee5efe16e39,3337075389283370 - 6b64b59f-432d-401e-b552-d855f1e1d2e0 - 2204060040002674
13365039-0227-74bd-c4f19021bee2,Genie - 2204060030003074 
23def406-1074-8eac-9057da4352ad,Genie Access Request
442794e6-47b6-54f2-35276c5e777b,need to verify debugfs mounted in job cluster and reduce the logs
501cfc39-4de1-0567-fb9f1444a8a8,compute resources bogging down
f1ca42c0-9a9d-5980-0f5fdab3edf9,Job Execution Poor Performance
12118acc-3f6a-166e-297115b9fda0,RStudio init script fails
e2b35fea-ad2c-42e4-bc75c393c888,Permissions issue on databricks cluster while getting Audit logs
776c8199-e174-2ddd-6764fead2d34,2203110040001197 | Job Failure
36631533-ca3b-2834-ed6d6cead474,Cluster did not timeout after being unable to aqquire executors
1a74a24e-ca66-a23e-bbcfb3ec8807,Genie:ARR:2202250040005364 | Databricks Parallel Execution Performance Issues - DTS PDW Pilot 
581074f0-f3f3-7f16-287202d3d6ec,Genie Access | ARR SR# 2204050030001227
d491cc43-8648-d69c-854c539d3849,Instance Type support
9196e3dc-7729-4061-d00574118fc3,6973325950234402 - 6dfbe157-2219-4313-adfc-6df4829ab651 - 2204050010002796
c5c3a6cc-0c8c-bf98-adaab47e6d23,Databricks Account Setup Assistance
d2c243c0-00d4-cef5-9422ecd379ee,AND operator raising UnsupportedOperationException: dataType with LAG
7b4d45a1-508d-594a-fa5f0a79d0c1,Databricks Job Failing due to Spark issue
667fad9f-1cee-0040-82df01338326,Genie Access | Spark down: OutOfMemoryError: unable to create new native thread
d7558c7c-4fc4-71ca-61cbbbb2d230,Does this set up will work on spark kafka connector?
0a63fd67-0a6a-b229-918021000d5d,SSO issue for https://pwc-nonprod.cloud.databricks.com/
e9993168-ef30-5cf2-9a01731fe263,genie access
743361b2-8309-70de-23d131c13a70,Rstudio 1.4 initialization failure
ce31575d-f6dc-8ac2-68c98cd35073,MLflow autolog sklearn
f8d8d4b9-d998-71c7-db273d65c62c,Notebook does not execute.
408e045e-051c-ad27-785dc14e3549,CSS-ARR-SFMC-2204060030002027-Data bricks notebooks are running very Slow
59a01866-f50c-ca2d-68ec42474b37,genie for #2202210050001736
66750f2d-36fe-e226-efd30a43d6f1,Genie Access Request
ea9eaa1b-72a6-94fb-621aefe6aec1,genie for #2202210050001736
6dccf21a-f4c5-ff00-c12688dc47a4,"Genie Access | ADF pipeline failing due to error - Remote RPC client disassociated. Likely due to containers exceeding thresholds, or network issues"
e04f0095-93c5-06c5-9220b6d6ed5f,Python shell exits with 143 exception and REPL gets restarted continously | ARR SR# 2204060030002257
ac0f7540-81f8-a2eb-62c7907b65c5,ARR | 2204060050000469 | Installing Python Packages fails
d8896801-154a-9003-47dcfdd3079a,Not able to connect to MQSQL Metastore DB from SQL endpoint
15215533-46ed-dc3a-c1e87a3fa647,2204060050000469 || Genie Access Request
6216d686-9ee0-05f8-8b01a6bcb67f,2204010030000880 | Anheuser-Busch InBev | ARR
ac9a347a-fb1c-48e1-3fe3834a7883,Genie access request
c13c3fc7-940c-914c-5e99f99cd579,8890986345557588_Need Genie Access
d0a1bd69-d590-7dd3-fe02ae79159d,Clusters 'Running command' but not doing anything
e936961b-242b-c65c-215c0dd63157,CSS-2203280040003823-Need user details on managed tables created in DBFS path
6cac73e7-2920-04e0-4d4ae42cf2a5,Clusters 'Running command' but not doing anything
e06f05bb-307b-bece-5cecb87119a9,genie for #2204060050000418
21b7dcc6-4d73-d774-e5a11f11a5df,Clusters 'Running command' but not doing anything
0f534403-157a-5ee7-c911426cc164,Is it possible to connect Databricks SQL with AWS Redshift DB?
098f5f73-74bc-da5f-6d48be3d99cc,Python shell exits with 143 exception and REPL gets restarted continously | ARR SR# 2204060030001258
6f027c7e-44a7-f5ad-c9ca87606be6,Cluster doesn't start
9cf71810-0dc0-143b-f497ead1c848,2204050050002744 Genie Access
4087bb39-52bc-95f0-636ff4a24223,genie
1694bf61-d2a1-cf68-af725015ab56,Follow up case #00139520
f645c971-9856-0b07-4e99cb207a04,Not able to load more Azure databricks SQL Endpoint using JDBC
c373adb7-d761-26e9-412c49b84f43,Genie
3d8551c3-2e86-8aa0-266cb006dd45,genie
63e164a2-cdf1-ad22-5a5a89f4a2ba,Activate secret in DB-connect
c4087dd7-6567-c0aa-28813844d7b8,"Need some clarifications regarding the ""Change data feed"""
1b70ae7c-a87e-c2c6-8b04fb1dc2d9,While Reading CSV files from datalake to databricks it is creating distorted data in notebookReading CSV files from datalake to databricks it is creating distorted data in notebook
25264666-caae-a53d-d4bfe11fc2b4,Need help for Databricks Notebook configuration for ETL operation
791a8a33-0c11-5bae-b80bf97db428,Genie access | ARR SR # 2204060030001258
110dec57-6d1c-813e-251b51309f5d,genie
930c37ea-c17f-3133-fdc1701c5102,genie access | ARR SR# 2203110030000770001
9e1168fc-d27a-605a-778b62a89ee3,Spot fall back to On-demand Option on Job Cluster
c4965a23-bac6-52e7-8c9bd5c532f6,About SQL execute error after Databricks workspace creation
b24928a6-ab27-d8ac-4a4f1ec6bf2c,CSS-ARR-S500-SR#2203290040005285-Genie Access Request
764f2998-e8e8-10ae-d0bff3d01796,Failed network validation checks when creating Workspace
920df9ee-1d04-7653-cf497c105e66,CSS-ARR-2204050010001186-Job aborted due to stage failure
bdafad18-18d8-3e41-e2f6d4763d58,Documentation issues
d5cca15f-6006-d07c-55711b8f07c9,2.20E+15
ff89cc38-2dd1-2b90-e82deef49ab7,[ARR] [Sev C] SR-2204060030000215 the reason why Job Alert mail did not work
ae7bb81c-9a42-2f14-d3cb160c2419,"The DevOps pipeline for databricks is failing. Hence, we need advise regarding this issue."
9928325b-49f1-0e7b-504da17fca81,[ARR] [Sev B] SR-2204050050002779-Databricks cluster upgrade
f01fd329-f8a8-7b60-80297039442f,Genie-2203300030003094
43edc50f-499a-4f9e-2dc8cba94442,unable to create databricks storage account private endpoint - Due to deny Assignment
db6e0e03-865c-162a-fa3a92eff8ff,Production databricks workspace is down
6c0e2b8b-bf29-f3bd-49a6859d0b3c,genie
2ee84ac2-de09-7460-fe0e8e5c6491,Genie Access - SR 2204060030000215
98361ab7-5678-8374-a3e5b8142642,MLFlow model version pending to be deployed forever
bbc5daf9-37ea-80f1-c2f3037420ad,Genie tk
16a4a39c-6150-4e33-4d37047203c5,Genie:ARR: databricks notebook running failure
f835ea1d-bedb-90a3-b5d0a9c1f365,genie
6e3eca81-21ac-27e1-62eb9ba12a91,Not able to start cluster server
f6bba587-e21f-2f67-b6d6fb865d88,[ARR] SR#2204050040010569-Please help me to get the Ganglia UI report images to dig into the detailed cluster report
3402c3f5-929c-1b3a-85c7b98599a2,1776genie
80395e46-c1c9-2581-4f3a13453706,Vacuum on Delta table failing continuously || 2202280040007216
65634e03-fcae-af97-3f0408e81cbe,Databricks Cluster restart
022e4ed8-1856-8cc1-61f04d09123e,User accounts in Manage Contacts
807fd6ea-b439-ea5c-7f913d7d3ced,"2204050010002274Genie || Copying from Azure Databricks to Synapse does not complete, takes more than 6 hours"
8fedf0f0-cfbc-9040-bbd344eadff5,All Purpose cluster Slow on GCP
7dda43e8-6a60-892b-10b3a1bc03a4,Cannot interact with SQL View
e660ef37-caac-5589-132da013d1b0,Python Pandas generates com.databricks.rpc.RPCResponseTooLarge error
7878a0cd-0e91-2ee0-6dc5dbac6b22,Performance tuning spark sql job
3db36108-5ea1-46b9-a455d4cfc308,Genie : 2204050040009446 -  Databricks Performance Issues in preprod ADLS account
3d261643-ceec-3314-075b726a6afc,Query profile not available
0e84f468-e0f3-907e-e06c339d347e,Databricks IP Access List
7c2e78ef-8706-cde5-82e8c13a42f1,Genie Access Request
75cd4c73-88b4-15a6-8347ac5992e9,RserveException: eval failed-memory issues
a4ad5378-238e-dafa-e8cb59180a60,Need help with jobs api submiting job type as python
c4f9b1ad-01a5-b078-42e78ddba0b8,ARR Customer: TD Bank - Ingestion Failures in Production 
fcab61bf-6dc5-6584-988d1d69b5b1,Genie 2204050040008227
8ba0287b-afd5-7b5b-f60350c5e550,Spark Pandas API performance issues
64eaaa9b-4063-3ecc-9dab578a4d0e,ARR - CVSHealth - 2204050040008980 - Databricks job failures
679c201c-230d-e6d5-172fe91a558f,Failed/successful job on two clusters
c320e201-23f8-fa39-0c25c059b6c8,Cluster terminated.Reason:Aws Insufficient Free Addresses In Subnet Failure
c91e38c3-9c42-45fa-359cc153c8fa,MLflow cluster logs unavailable
ebd4badb-b29f-0051-25e53632efb2,2.20E+15
ac952a34-002f-8ffd-5ad3cc538669,model serving cluster issue
99189cf8-f667-cba4-bedca3f1e87e,6398507633548715 - e33df5d1-ae22-417d-b794-8d9b6f338409 - 2204050040008980
cd14eb2c-56a6-4d67-7efa8ad036ae,2203090040006252 | Job Failure
083f6687-60fe-7101-c782682de413,Jobs failing with Netty OOM in E2 but they are passing in PVC
206440d9-c38e-37ee-4fcb1ec39632,Init Script Error
bd7e31cf-7514-d1b1-14b362e5ceb7,2204050040008729 | Job Failure
cee6d2c9-62fa-e284-bd28292cb518,need new firewall rule to public S3 bucket with databricks-datasetes
89fe719b-0072-9ba2-91cfce48eda7,unable to update jobs with modified cluster policies without deleting and recreating jobs
6367cfcd-3946-812d-7d13aa846f10,Market specific SQL Endpoint creation
bb7e7146-d06a-5fc3-44b6eaeea641,workspace question
4ec0ca7e-efd6-c0aa-f4cf6bb1b7d7,ARR| Genie | Performance issues - 2204050040007179
aaea4520-ee17-586a-8560b7eb268a,Repos push error
bf022b2b-acb0-67ac-06a755afcb7b,Unable to access our legacy workspace
8caa2199-a4fd-cca2-c5472c669b82,Add additional IP to Whitelist
3165a3de-698e-0ec7-2ccf44f2ceb6,Azure Container Subscription Clean up
43d99842-2827-9a77-b3bd5e405d33,ARR-[REG:2203300030003575]Issues in automating workspace setting of databricks
52d348bb-ca47-cf4e-51abad9530e8,ARR Customer: AA - job failing in Databricks with concurrent read error
56ecc638-14e8-e4bb-344bb635bc25,Official Docker Containers to support 10.4 LTS
8e190831-2858-1e78-3ae965822eb9,Create New Admin
c98d59a4-10d6-5616-1672a882c239,Databricks multi-task jobs are failing in an inconsistent fashion
e56b8516-f67d-e2ae-7473fd068b3c,Genie - 2204050030003013
24d4ca21-033c-4e9b-37b7812a9fa6, Azure DataBricks - ADLS Connectivity
8540f39d-95b0-9ada-75d1c24fbb34,Cluster Configuration changed with new Hardware Types
aeeb38cb-268e-02e7-87cbe8d1f4f3,Genie-2203280030003146
